
USERID,NAME,DOB,POB,CLP,GENDER,AGE,HEIGHT ft,MOBILENUMBER,COLOR,EMAILID,JOBPROFILE,DEGREE,ANNUAL INCOME,FATHER'S NAME,FAMILY NAME,FATHER OCCU,FAMILY STATUS
111,Arjun,14-06-1995,MUMBAI,JAIPUR,MALE,27,5.479003,9613582917,DUSKY,xyz11@gmail.com,Marketing,MBA,820000,RAJVENDRA,BEDI,PRIVATE,Upper class
112,Armaan,11-02-1995,CHENNAI,KOTA,MALE,26,5.216535,9624344749,BROWN,xyz12@gmail.com,Business,MBA,8120000,RAJNEESH,VERMA,PRIVATE,Upper class
113,Arun,27-07-1991,KOLKATA,BARAN,MALE,31,6.069554,9209507139,BROWN,xyz13@gmail.com,Sales,MBA,2010000,MOHIT,CHOUDHARY,GOVERNMENT,Upper class
114,Aum,19-01-1990,KOTA,JHALAWAR,MALE,32,5.544619,9454018328,BROWN,xyz14@gmail.com,Lawyer,LLB,14200000,MAYANK,CHAWALA,GOVERNMENT,Upper class
115,Avi,08-08-1994,BARAN,INDORE,MALE,28,4.691601,9129902340,BROWN,xyz15@gmail.com,Accountant,CA,10500000,SANJAY,DATTA,GOVERNMENT,Upper class
116,Ayaan,03-04-1996,JHALAWAR,DELHI,MALE,26,5.577428,9652860181,DUSKY,xyz16@gmail.com,Marketing,MBA,12470000,MANOJ,DEOL,LAWYER,Middle class
117,Bodhi,28-08-1992,INDORE,MATHURA,MALE,30,5.249344,9263446834,BROWN,xyz17@gmail.com,Software Engineer,Btech,10760000,SACHIN,DESHPANDE,LAWYER,Middle class
118,Daksh,16-05-1993,DELHI,AGRA,MALE,29,4.625984,9543076513,DUSKY,xyz18@gmail.com,Marketing,MBA,8790000,ANISH,DEWAN,TEACHER,Upper class
119,Dev,15-02-1994,MUMBAI,AGRA,MALE,28,5.93832,9550891607,BROWN,xyz19@gmail.com,Lawyer,LLB,8820000,DINESH,KOHLI,DOCTOR,Middle class
120,Eshaan,14-11-1992,CHENNAI,GAYA,MALE,29,5.708661,9085099228,BROWN,xyz20@gmail.com,Software Engineer,Btech,13380000,HARISH,MANGAL,DOCTOR,Middle class
121,Ishan,21-03-1991,KOLKATA,PATNA,MALE,31,5.052493,9377759504,BROWN,xyz21@gmail.com,Lawyer,LLB,10880000,MAHAVEER,MALHOTRA,GOVERNMENT,Upper class
122,Jahan,04-03-1995,GUWAHATI,CHATTISGARH,MALE,27,4.2979,9553170390,FAIR,xyz22@gmail.com,Accountant,CA,7090000,ADARSH,JHA,PRIVATE,Upper class
123,Jaiden,29-09-1990,JAIPUR,KOTA,MALE,32,4.035433,9408338770,FAIR,xyz23@gmail.com,Sales,MBA,4920000,ABHAY,JOSHI,PRIVATE,Upper class
124,Jay,17-06-1992,KOTA,KOTA,MALE,30,4.166667,9047910832,DUSKY,xyz24@gmail.com,Software Engineer,Btech,1220000,ARIJIT,JAIN,PRIVATE,Upper class
125,Jiyan,20-05-1991,BARAN,BUNDI,MALE,31,3.969816,9296932193,BROWN,xyz25@gmail.com,Lawyer,LLB,12100000,ALOK,KHANNA,PRIVATE,Upper class
126,Kabir,16-01-1993,JHALAWAR,DELHI,MALE,29,6.036745,9698369629,FAIR,xyz26@gmail.com,Business,MBA,11150000,AMIT,GROVER,PRIVATE,Upper class
127,Kahan,08-04-1999,INDORE,CHANDIGARH,MALE,23,5.183727,9634304817,FAIR,xyz27@gmail.com,Business,MBA,530000,ANMOL,KAUR,LAWYER,Middle class
128,Kailash,30-08-1997,DELHI,BHILWARA,MALE,25,4.068241,9590060778,FAIR,xyz28@gmail.com,Business,MBA,1060000,ARJUN,KASHYAP,BUSINESS,Middle class
129,Kaiyen,05-06-1997,MATHURA,UDAIPUR,MALE,25,5.150919,9439053946,FAIR,xyz29@gmail.com,Sales,MBA,8550000,BALVEER,GARG,BUSINESS,Middle class
130,Kalpen,01-12-1990,AGRA,NOIDA,MALE,32,4.429134,9033775333,DUSKY,xyz30@gmail.com,Lawyer,LLB,6850000,CHIRAG,GANDHI,ENGINEER,Middle class
131,Karam,16-08-1996,AGRA,JHALANDAR,MALE,26,5.347769,9420238737,DUSKY,xyz31@gmail.com,Doctor,MBBS,12300000,CHANDAN,GUPTA,ENGINEER,Middle class
132,Karthik,05-09-1990,GAYA,AMRITSAR,MALE,32,5.413386,9516663232,DUSKY,xyz32@gmail.com,Business,MBA,12970000,NAVAL,DASS,ENGINEER,Middle class
133,Kavish,20-09-1994,PATNA,BANGLORE,MALE,28,5.314961,9772642662,BROWN,xyz33@gmail.com,Marketing,MBA,710000,GANESH,CHOPRA,TEACHER,Upper class
134,Kiaan,14-06-1998,CHATTISGARH,OOTY,MALE,24,4.757218,9223120333,BROWN,xyz34@gmail.com,Business,MBA,7490000,GAURAV,DHAWAN,GOVERNMENT,Upper class
135,Krish,28-01-1998,KOTA,MYSORE,MALE,24,4.396325,9528456131,BROWN,xyz35@gmail.com,Marketing,MBA,14030000,GIRDHAR,DIXIT,TEACHER,Upper class
136,Kriyan,16-08-1990,KOTA,SHIMLA,MALE,32,5.446194,9703455504,BROWN,xyz36@gmail.com,Accountant,CA,2690000,GOPAL,DUBEY,PRIVATE,Upper class
137,Laksh,01-09-1997,BUNDI,MANALI,MALE,25,5.74147,9613360732,DUSKY,xyz37@gmail.com,Software Engineer,Btech,3230000,RADHAKRISHNA,KAPOOR,PRIVATE,Upper class
138,Manav,15-03-1992,DELHI,GUWAHATI,MALE,30,5.93832,9468888014,DUSKY,xyz38@gmail.com,Sales,MBA,5950000,RAM,KHURANA,TEACHER,Upper class
139,Milan,26-01-1994,CHANDIGARH,AHEMDABAD,MALE,28,5.577428,9463135896,BROWN,xyz39@gmail.com,Marketing,MBA,370000,HITESH,SURANA,DOCTOR,Middle class
140,Mivan,01-02-1999,BHILWARA,SURAT,MALE,23,4.199475,9398032269,BROWN,xyz40@gmail.com,Marketing,MBA,8230000,HEMRAJ,DESHMUSH,DOCTOR,Middle class
141,Mohan,01-04-1992,UDAIPUR,PANAJI,MALE,30,4.10105,9538165652,BROWN,xyz41@gmail.com,Business,MBA,690000,DEV,CHAUHAN,DOCTOR,Middle class
142,Moksh,28-07-1991,NOIDA,UJJAIN,MALE,31,5.314961,9203151666,FAIR,xyz42@gmail.com,Accountant,CA,4480000,ISHWAR,GOSWAMI,DOCTOR,Middle class
143,Nayan,16-03-1997,JHALANDAR,HYDERABAD,MALE,25,4.92126,9519853804,FAIR,xyz43@gmail.com,Lawyer,LLB,5890000,JAYVEER,GOEL,BUSINESS,Middle class
144,Neeraj,15-12-1990,AMRITSAR,CHANDIGARH,MALE,31,4.2979,9704207898,FAIR,xyz44@gmail.com,Doctor,MBBS,11960000,JAGAT,DHILLON,BUSINESS,Middle class
145,Nikhil,25-03-1997,BANGLORE,BHILWARA,MALE,25,4.757218,9411681320,DUSKY,xyz45@gmail.com,Sales,MBA,2460000,KARAN,KUMAR,PRIVATE,Upper class
146,Nirmay,11-06-1995,OOTY,UDAIPUR,MALE,26,4.822835,9758994065,FAIR,xyz46@gmail.com,Doctor,MBBS,5500000,ARJUN,GILL,PRIVATE,Upper class
147,Nishan,15-09-1994,MYSORE,NOIDA,MALE,28,5.479003,9690451681,BROWN,xyz47@gmail.com,Doctor,MBBS,2230000,KAMLESH,BATRA,GOVERNMENT,Upper class
148,Nitin,01-12-1990,SHIMLA,JHALANDAR,MALE,32,4.954068,9498603030,BROWN,xyz48@gmail.com,Accountant,CA,370000,KAMAL,MEHTA,DOCTOR,Middle class
149,Niyam,09-08-1991,MANALI,AMRITSAR,MALE,31,5.577428,9708747450,DUSKY,xyz49@gmail.com,Marketing,MBA,7500000,MAHAVIR,SAXENA,TEACHER,Upper class
150,Ohm,12-02-1991,GUWAHATI,BANGLORE,MALE,30,5.708661,9722451826,FAIR,xyz50@gmail.com,Accountant,CA,12710000,NAVEEN,MUKHARJEE,LAWYER,Middle class
151,Ovi,21-04-1992,AHEMDABAD,OOTY,MALE,30,4.954068,9006502373,FAIR,xyz51@gmail.com,Teacher,BEd,7400000,NITIN,SHAH,LAWYER,Middle class
152,Parth,16-05-1998,SURAT,MYSORE,MALE,24,4.166667,9325408559,BROWN,xyz52@gmail.com,Marketing,MBA,2660000,NEERAJ,RAO,LAWYER,Middle class
153,Pavan,22-07-1992,PANAJI,SHIMLA,MALE,30,4.133858,9688106545,BROWN,xyz53@gmail.com,Lawyer,LLB,2870000,NARAYAN,SINGH,TEACHER,Upper class
154,Priyam,23-12-1990,UJJAIN,MANALI,MALE,31,4.855643,9343011963,FAIR,xyz54@gmail.com,Doctor,MBBS,8050000,NAKUL,ACHARYA,DOCTOR,Middle class
155,Rajiv,18-09-1990,HYDERABAD,GUWAHATI,MALE,32,4.002625,9212040710,DUSKY,xyz55@gmail.com,Marketing,MBA,13870000,OMPRAKASH,AGARWAL,DOCTOR,Middle class
156,Rajveer,14-09-1997,CHANDIGARH,AHEMDABAD,MALE,25,4.593176,9145038812,DUSKY,xyz56@gmail.com,Doctor,MBBS,14540000,LAKSHMAN,KHATRI,GOVERNMENT,Upper class
157,Revan,07-07-1991,BHILWARA,SURAT,MALE,31,5.610236,9705801094,DUSKY,xyz57@gmail.com,Software Engineer,Btech,8660000,BHARAT,AHUJA,PRIVATE,Upper class
158,Ridhan,05-09-1991,UDAIPUR,PANAJI,MALE,31,4.166667,9449644484,DUSKY,xyz58@gmail.com,Lawyer,LLB,14920000,SHATRUGN,ANAND,GOVERNMENT,Upper class
159,Rishi,09-09-1990,NOIDA,UJJAIN,MALE,32,4.92126,9180416208,FAIR,xyz59@gmail.com,Teacher,BEd,960000,PRATAP,PATEL,GOVERNMENT,Upper class
160,Rithvik,27-05-1994,JHALANDAR,HYDERABAD,MALE,28,5.446194,9249242253,FAIR,xyz60@gmail.com,Doctor,MBBS,9510000,PREM,REDDY,GOVERNMENT,Upper class
161,Riyan,24-06-1993,AMRITSAR,CHITTORGARH,MALE,29,4.888451,9453410204,DUSKY,xyz61@gmail.com,Business,MBA,7060000,PRAKASH,ARYA,PRIVATE,Upper class
162,Rohan,26-02-1995,BANGLORE,JODHPUR,MALE,27,5.249344,9558464191,FAIR,xyz62@gmail.com,Business,MBA,10780000,RAJEEV,BABU,ENGINEER,Middle class
163,Rudra,25-08-1993,OOTY,JAISALMER,MALE,29,5.643045,9531699573,FAIR,xyz63@gmail.com,Software Engineer,Btech,450000,RAJVEER,BHATT,ENGINEER,Middle class
164,Sachin,16-04-1999,MYSORE,RANTHAMBORE,MALE,23,5.675853,9192034483,DUSKY,xyz64@gmail.com,Business,MBA,10520000,RAVI,BEDI,TEACHER,Upper class
165,Sahil,13-01-1999,SHIMLA,PUSHKAR,MALE,23,4.822835,9207119590,DUSKY,xyz65@gmail.com,Business,MBA,580000,RAVINDER,VERMA,TEACHER,Upper class
166,Sai,19-05-1993,MANALI,AJMER,MALE,29,5.216535,9245843425,DUSKY,xyz66@gmail.com,Software Engineer,Btech,7830000,ROHAN,CHOUDHARY,DOCTOR,Middle class
167,Sajan,06-05-1999,GUWAHATI,SAWAI MADHOPUR,MALE,23,5.74147,9082159991,DUSKY,xyz67@gmail.com,Accountant,CA,9550000,ROSHAN,CHAWALA,DOCTOR,Middle class
168,Samardh,07-10-1998,AHEMDABAD,KOLKATA,MALE,24,5.150919,9237370133,DUSKY,xyz68@gmail.com,Marketing,MBA,14410000,SAHIL,DATTA,TEACHER,Upper class
169,Samay,19-02-1999,SURAT,KOTA,MALE,23,4.527559,9270589616,FAIR,xyz69@gmail.com,Accountant,CA,8470000,SACHIN,DEOL,DOCTOR,Middle class
170,Sanjay,15-08-1997,PANAJI,BARAN,MALE,25,4.691601,9048014528,DUSKY,xyz70@gmail.com,Lawyer,LLB,8050000,SAGAR,DESHPANDE,COLLECTOR,Upper class
171,Sayan,09-11-1992,UJJAIN,JHALAWAR,MALE,30,5.774278,9146158988,FAIR,xyz71@gmail.com,Software Engineer,Btech,5520000,BHUSHAN,DEWAN,OFFICER,Upper class
172,Shaan,25-07-1996,HYDERABAD,INDORE,MALE,26,4.625984,9786875386,DUSKY,xyz72@gmail.com,Marketing,MBA,5670000,SATEESH,KOHLI,COLLECTOR,Upper class
173,Shikhar,06-11-1992,CHITTORGARH,DELHI,MALE,30,5.774278,9732496506,BROWN,xyz73@gmail.com,Sales,MBA,3580000,DHANANJAY,MANGAL,COLLECTOR,Upper class
174,Siddh,18-04-1999,JODHPUR,MUMBAI,MALE,23,4.658793,9636483898,DUSKY,xyz74@gmail.com,Business,MBA,12890000,SHIV,MALHOTRA,OFFICER,Upper class
175,Sohum,27-09-1990,JAISALMER,CHENNAI,MALE,32,4.068241,9110916003,BROWN,xyz75@gmail.com,Lawyer,LLB,10300000,SHYAM,JHA,OFFICER,Upper class
176,Tej,17-07-1992,RANTHAMBORE,KOLKATA,MALE,30,4.92126,9414178803,BROWN,xyz76@gmail.com,Teacher,BEd,5120000,SHAKTI,SINGH,OFFICER,Upper class
177,Vardan,23-11-1996,PUSHKAR,GUWAHATI,MALE,25,5.446194,9598349137,BROWN,xyz77@gmail.com,Doctor,MBBS,1580000,SURAJ,SETH,OFFICER,Upper class
178,Veer,24-12-1998,AJMER,JAIPUR,MALE,23,4.888451,9169598808,BROWN,xyz78@gmail.com,Teacher,BEd,3830000,SURYA,SACHDEV,TEACHER,Upper class
179,Vihan,17-03-1995,SAWAI MADHOPUR,KOTA,MALE,27,5.511811,9099078846,BROWN,xyz79@gmail.com,Business,MBA,1590000,VIVEKANAND,PANDEY,DOCTOR,Middle class
180,Vikram,07-07-1997,MOUNT ABU,BARAN,MALE,25,5.150919,9328315531,BROWN,xyz80@gmail.com,Marketing,MBA,14440000,BIPIN,MODI,DOCTOR,Middle class
181,Vimal,02-03-1997,ALWAR,JHALAWAR,MALE,25,4.790026,9490891691,DUSKY,xyz81@gmail.com,Software Engineer,Btech,13870000,SUYOG,KHURANA,DOCTOR,Middle class
182,Viraj,17-01-1995,SIKAR,INDORE,MALE,27,4.822835,9708997878,DUSKY,xyz82@gmail.com,Sales,MBA,4430000,MAHESH,KAPOOR,TEACHER,Upper class
183,Yash,01-10-1999,CHURU,DELHI,MALE,23,5.282152,9693481141,DUSKY,xyz83@gmail.com,Teacher,BEd,9120000,SURESH,AHUJA,TEACHER,Upper class
184,Zayn,30-09-1992,KISHANGARH,MATHURA,MALE,30,5.019685,9178282186,DUSKY,xyz84@gmail.com,Accountant,CA,13710000,RAMESH,DHAWAN,GOVERNMENT,Upper class
185,Zian,10-04-1994,SHIRPUR,AGRA,MALE,28,5.610236,9548468107,FAIR,xyz85@gmail.com,Business,MBA,7410000,RAJESH,GANGULY,GOVERNMENT,Upper class
186,Aadhavi,20-08-1996,BARMER,AGRA,FEMALE,26,4.954068,9323027533,FAIR,xyz86@gmail.com,Doctor,MBBS,7400000,ROHIT,GOKHLE,PRIVATE,Upper class
187,Aanya,26-02-1997,DHULE,GAYA,FEMALE,25,4.625984,9585955161,DUSKY,xyz87@gmail.com,Sales,MBA,10500000,DEEPAK,AGARWAL,PRIVATE,Upper class
188,Aarya,17-12-1990,BHOPAL,PATNA,FEMALE,31,5.380577,9223888689,DUSKY,xyz88@gmail.com,Marketing,MBA,12910000,MAHENDRA,IYER,PRIVATE,Upper class
189,Aashvi,02-03-1992,NAGADA,CHATTISGARH,FEMALE,30,5.347769,9688659137,FAIR,xyz89@gmail.com,Accountant,CA,1800000,RAJVENDRA,APTE,ENGINEER,Middle class
190,Alani,09-10-1992,BEGUSARAI,KOTA,FEMALE,30,4.068241,9079004760,FAIR,xyz90@gmail.com,Doctor,MBBS,1480000,RAJNEESH,CHAKRABARTI,BUSINESS,Middle class
191,Amara,10-12-1996,NAGORE,KOTA,FEMALE,26,4.10105,9514400771,FAIR,xyz91@gmail.com,Business,MBA,2190000,MOHIT,AHLUWAILA,TEACHER,Upper class
192,Amulya,31-03-1998,TONK,BUNDI,FEMALE,24,3.608924,9162587666,FAIR,xyz92@gmail.com,Business,MBA,4090000,MAYANK,DALAL,LAWYER,Middle class
193,Aniya,14-08-1998,JAIPUR,DELHI,FEMALE,24,5.150919,9057744502,FAIR,xyz93@gmail.com,Accountant,CA,4910000,SANJAY,BASU,DOCTOR,Middle class
194,Anushka,25-02-1995,DEOLI,CHANDIGARH,FEMALE,27,5.610236,9423313509,FAIR,xyz94@gmail.com,Software Engineer,Btech,5410000,MANOJ,ROY,TEACHER,Upper class
195,Aria,11-04-1997,BUNDI,BHILWARA,FEMALE,24,5.511811,9320476821,FAIR,xyz95@gmail.com,Marketing,MBA,9660000,SACHIN,ANTHONY,BUSINESS,Middle class
196,Ayla,19-07-1995,CHIPABADOD,UDAIPUR,FEMALE,27,5.249344,9292753715,FAIR,xyz96@gmail.com,Marketing,MBA,11450000,ANISH,ACHARYA,TEACHER,Upper class
197,Devina,01-09-1992,KANPUR,NOIDA,FEMALE,30,4.002625,9073637409,FAIR,xyz97@gmail.com,Marketing,MBA,2710000,DINESH,AGARWAL,TEACHER,Upper class
198,Divya,13-02-1990,JAIPUR,JHALANDAR,FEMALE,32,3.641732,9226331173,FAIR,xyz98@gmail.com,Software Engineer,Btech,1030000,HARISH,KHATRI,GOVERNMENT,Upper class
199,Eesha,13-12-1998,VARANASI,AMRITSAR,FEMALE,23,5.380577,9736491049,FAIR,xyz99@gmail.com,Marketing,MBA,10540000,MAHAVEER,AHUJA,PRIVATE,Upper class
200,Farida,11-03-1992,SITAPUR,BANGLORE,FEMALE,29,4.461942,9727339862,FAIR,xyz100@gmail.com,Accountant,CA,1630000,ADARSH,ANAND,PRIVATE,Upper class
201,Imara,29-08-1995,TONK,OOTY,FEMALE,27,4.593176,9356546712,FAIR,xyz101@gmail.com,Lawyer,LLB,2670000,ABHAY,PATEL,GOVERNMENT,Upper class
202,Jasmine,25-07-1992,CHIPABADOD,MYSORE,FEMALE,30,3.838583,9047611689,FAIR,xyz102@gmail.com,Software Engineer,Btech,6700000,ARIJIT,REDDY,GOVERNMENT,Upper class
203,Jaya,09-10-1995,BARELI,SHIMLA,FEMALE,27,4.954068,9632771408,FAIR,xyz103@gmail.com,Lawyer,LLB,5390000,ALOK,ARYA,GOVERNMENT,Upper class
204,Jhansi,22-08-1999,TONK,MANALI,FEMALE,23,4.035433,9811288393,FAIR,xyz104@gmail.com,Lawyer,LLB,11550000,AMIT,BABU,LAWYER,Middle class
205,Jivika,18-08-1992,DEOLI,GUWAHATI,FEMALE,30,4.593176,9071317561,DUSKY,xyz105@gmail.com,Lawyer,LLB,4160000,ANMOL,BHATT,LAWYER,Middle class
206,Jiyana,02-06-1998,CHANDIGARH,AHEMDABAD,FEMALE,24,4.888451,9611066019,DUSKY,xyz106@gmail.com,Sales,MBA,14930000,ARJUN,BEDI,TEACHER,Upper class
207,Kareena,12-04-1997,BHILWARA,SURAT,FEMALE,24,5.052493,9298099053,DUSKY,xyz107@gmail.com,Lawyer,LLB,12670000,BALVEER,VERMA,DOCTOR,Middle class
208,Kavya,02-08-1990,UDAIPUR,PANAJI,FEMALE,32,4.265092,9484048223,DUSKY,xyz108@gmail.com,Doctor,MBBS,4660000,CHIRAG,CHOUDHARY,DOCTOR,Middle class
209,Khushi,19-01-1996,NOIDA,UJJAIN,FEMALE,26,5.216535,9467144609,DUSKY,xyz109@gmail.com,Lawyer,LLB,1440000,CHANDAN,CHAWALA,GOVERNMENT,Upper class
210,Kimaya,09-10-1997,JHALANDAR,HYDERABAD,FEMALE,25,4.330709,9610645684,DUSKY,xyz110@gmail.com,Sales,MBA,4450000,NAVAL,DATTA,PRIVATE,Upper class
211,Kiyana,22-10-1990,AMRITSAR,CHANDIGARH,FEMALE,31,4.560367,9125352305,DUSKY,xyz111@gmail.com,Software Engineer,Btech,140000,GANESH,DEOL,PRIVATE,Upper class
212,Lakshmi,08-05-1991,BANGLORE,BHILWARA,FEMALE,31,5.019685,9210699087,DUSKY,xyz112@gmail.com,Business,MBA,6070000,GAURAV,DESHPANDE,PRIVATE,Upper class
213,Lavanya,02-05-1994,OOTY,UDAIPUR,FEMALE,28,4.954068,9368290134,DUSKY,xyz113@gmail.com,Accountant,CA,490000,GIRDHAR,DEWAN,PRIVATE,Upper class
214,Liya,31-08-1992,MYSORE,NOIDA,FEMALE,30,5.675853,9659719046,DUSKY,xyz114@gmail.com,Lawyer,LLB,5930000,GOPAL,KOHLI,PRIVATE,Upper class
215,Mahi,07-12-1990,SHIMLA,JHALANDAR,FEMALE,32,4.232283,9673555442,DUSKY,xyz115@gmail.com,Lawyer,LLB,13950000,RADHAKRISHNA,MANGAL,LAWYER,Middle class
216,Maya,01-11-1991,MANALI,AMRITSAR,FEMALE,31,5.183727,9196567175,FAIR,xyz116@gmail.com,Lawyer,LLB,11000000,RAM,MALHOTRA,BUSINESS,Middle class
217,Meera,28-01-1997,GUWAHATI,BANGLORE,FEMALE,25,4.527559,9274510471,FAIR,xyz117@gmail.com,Teacher,BEd,500000,HITESH,JHA,BUSINESS,Middle class
218,Mila,07-04-1994,AHEMDABAD,OOTY,FEMALE,28,3.969816,9223290002,DUSKY,xyz118@gmail.com,Lawyer,LLB,8390000,HEMRAJ,ARORA,ENGINEER,Middle class
219,Mirza,09-07-1994,SURAT,MYSORE,FEMALE,28,4.461942,9015965044,FAIR,xyz119@gmail.com,Accountant,CA,9280000,DEV,GERA,ENGINEER,Middle class
220,Misha,04-06-1999,PANAJI,SHIMLA,FEMALE,23,3.969816,9466701641,FAIR,xyz120@gmail.com,Lawyer,LLB,14050000,ISHWAR,ADLAKHA,ENGINEER,Middle class
221,Myra,24-02-1990,UJJAIN,MANALI,FEMALE,32,3.674541,9073436781,FAIR,xyz121@gmail.com,Accountant,CA,9700000,JAYVEER,PIPLANI,TEACHER,Upper class
222,Navi,27-06-1994,HYDERABAD,GUWAHATI,FEMALE,28,4.954068,9663680655,DUSKY,xyz122@gmail.com,Doctor,MBBS,2640000,JAGAT,MALIK,GOVERNMENT,Upper class
223,Navya,12-06-1998,RANTHAMBORE,AHEMDABAD,FEMALE,23,5.11811,9021573665,DUSKY,xyz123@gmail.com,Sales,MBA,11690000,KARAN,AGARWAL,TEACHER,Upper class
224,Nevaeh,20-11-1990,PUSHKAR,SURAT,FEMALE,31,4.363517,9667629678,FAIR,xyz124@gmail.com,Lawyer,LLB,10030000,ARJUN,AGARWAL,PRIVATE,Upper class
225,Nidhi,21-03-1995,AJMER,PANAJI,FEMALE,27,4.724409,9475396850,FAIR,xyz125@gmail.com,Software Engineer,Btech,7820000,KAMLESH,PATEL,PRIVATE,Upper class
226,Nihira,21-11-1996,SAWAI MADHOPUR,UJJAIN,FEMALE,25,5.544619,9294858645,FAIR,xyz126@gmail.com,Lawyer,LLB,5420000,KAMAL,PATIL,TEACHER,Upper class
227,Nila,24-06-1999,MOUNT ABU,HYDERABAD,FEMALE,23,5.413386,9732531095,FAIR,xyz127@gmail.com,Teacher,BEd,3150000,MAHAVIR,GAUTAM,DOCTOR,Middle class
228,Nirvi,16-08-1997,ALWAR,CHITTORGARH,FEMALE,25,4.232283,9451208814,BROWN,xyz128@gmail.com,Business,MBA,7840000,UTSAV,JINDAL,DOCTOR,Middle class
229,Nisha,29-03-1997,SIKAR,JODHPUR,FEMALE,25,5.446194,9488215403,BROWN,xyz129@gmail.com,Doctor,MBBS,1500000,TEJ,SHRIWASTAVA,DOCTOR,Middle class
230,Nyra,12-08-1994,CHURU,JAISALMER,FEMALE,27,4.527559,9715614122,BROWN,xyz130@gmail.com,Business,MBA,13140000,SACHIN,SHARMA,DOCTOR,Middle class
231,Prisha,04-10-1998,KISHANGARH,RANTHAMBORE,FEMALE,24,4.10105,9682658313,BROWN,xyz131@gmail.com,Software Engineer,Btech,8500000,GAURAV,SHARMA,BUSINESS,Middle class
232,Pritha,28-12-1999,SHIRPUR,PUSHKAR,FEMALE,22,4.035433,9110940131,FAIR,xyz132@gmail.com,Marketing,MBA,320000,UMANG,GAUTAM,BUSINESS,Middle class
233,Priya,06-04-1992,BARMER,AJMER,FEMALE,30,5.610236,9497491113,FAIR,xyz133@gmail.com,Teacher,BEd,12570000,VIVEK,NAGAR,PRIVATE,Upper class
234,Rahi,19-10-1994,DHULE,SAWAI MADHOPUR,FEMALE,27,4.92126,9403073300,FAIR,xyz134@gmail.com,Accountant,CA,320000,VIKRAM,SAXENA,PRIVATE,Upper class
235,Ranchi,09-07-1997,BHOPAL,KISHANGARH,FEMALE,25,4.199475,9140921514,FAIR,xyz135@gmail.com,Lawyer,LLB,6450000,VISHAL,GYANI,GOVERNMENT,Upper class
236,Ria,17-06-1999,NAGADA,SHIRPUR,FEMALE,23,3.608924,9534207899,DUSKY,xyz136@gmail.com,Lawyer,LLB,7940000,VIJAY,KODE,DOCTOR,Middle class
237,Roja,08-12-1999,BEGUSARAI,BARMER,FEMALE,23,4.166667,9570458383,DUSKY,xyz137@gmail.com,Business,MBA,10610000,VARUN,SAHU,TEACHER,Upper class
238,Ruhi,25-07-1993,NAGORE,DHULE,FEMALE,29,4.92126,9670317990,DUSKY,xyz138@gmail.com,Sales,MBA,11540000,VAUDEV,SURANA,LAWYER,Middle class
239,Saanvi,12-01-1991,JHALANDAR,BHOPAL,FEMALE,30,3.641732,9819562670,DUSKY,xyz139@gmail.com,Marketing,MBA,14590000,VIMAL,MITTAL,LAWYER,Middle class
240,Sahara,17-08-1996,AMRITSAR,NAGADA,FEMALE,26,4.396325,9043697655,DUSKY,xyz140@gmail.com,Marketing,MBA,5730000,VINAY,GARG,LAWYER,Middle class
